"","geneID_nl_vs_h","normhits_score_nl_vs_h","decision_nl_vs_h"
"239","LSM2",0,"Rejected"
"240","MAFF",0,"Rejected"
"241","WDR43",0,"Rejected"
"242","KHSRP",0,"Rejected"
"243","UPF2",0,"Rejected"
"244","NAP1L1",0,"Rejected"
"245","XKR6",0,"Rejected"
"246","XLOC_007543",0,"Rejected"
"247","XLOC_009365",0,"Rejected"
"248","XLOC_012139",0,"Rejected"
"249","XLOC_014105",0,"Rejected"
"250","SPAG17",0,"Rejected"
"251","MEAF6",0,"Rejected"
"252","XLOC_l2_005871",0,"Rejected"
"253","XLOC_012116",0,"Rejected"
"254","XLOC_l2_009172",0,"Rejected"
"255","LOC145837",0,"Rejected"
"256","PREP",0,"Rejected"
"257","PLCG2",0,"Rejected"
"258","X258",0,"Rejected"
"259","LOC100287765",0,"Rejected"
"260","X260",0,"Rejected"
"261","IL1A",0,"Rejected"
"262","GOLGA6L9",0,"Rejected"
"263","HRH2",0,"Rejected"
"264","X264",0,"Rejected"
"265","MYB",0,"Rejected"
"266","H2BFXP",0,"Rejected"
"267","XLOC_l2_010936",0,"Rejected"
"268","PCDHA4",0,"Rejected"
"269","XXYLT1",0,"Rejected"
"270","SEC24A",0,"Rejected"
"271","LOC100505478",0,"Rejected"
"272","BRP44L",0,"Rejected"
"273","FSTL5",0,"Rejected"
"274","POLR3F",0,"Rejected"
"275","UNC80",0,"Rejected"
"276","KATNA1",0,"Rejected"
"277","LOC729032",0,"Rejected"
"278","X278",0,"Rejected"
"279","ZCCHC6",0,"Rejected"
"280","CAST",0,"Rejected"
"281","KIAA0196",0,"Rejected"
"282","LRRIQ3",0,"Rejected"
"283","NANS",0,"Rejected"
"284","C4orf40",0,"Rejected"
"285","ZNF117",0,"Rejected"
"286","PPP2R2C",0,"Rejected"
"287","X287",0,"Rejected"
"288","C1orf213",0,"Rejected"
"289","THADA",0,"Rejected"
"290","NEDD4L",0,"Rejected"
"291","XLOC_003840",0,"Rejected"
"292","B4GALNT1",0,"Rejected"
"293","HLA.DPB1",0,"Rejected"
"294","DST",0,"Rejected"
"295","ZBTB11",0,"Rejected"
"296","XLOC_l2_009886",0,"Rejected"
"297","FAM65C",0,"Rejected"
"298","MESDC1",0,"Rejected"
"299","XLOC_010399",0,"Rejected"
"300","CHST5",0,"Rejected"
"301","X301",0,"Rejected"
"302","SNORA26.1",0,"Rejected"
"303","CCDC99",0,"Rejected"
"304","SEPW1",0,"Rejected"
"305","VTI1A",0,"Rejected"
"306","NPC1",0,"Rejected"
"307","X307",0,"Rejected"
"308","FCER1G",0,"Rejected"
"309","X309",0,"Rejected"
"310","HSP90AB1",0,"Rejected"
"311","MCHR2",0,"Rejected"
"312","XLOC_004674",0,"Rejected"
"313","CECR2",0,"Rejected"
"314","INTS8",0,"Rejected"
"315","BRCC3",0,"Rejected"
"316","AFM",0,"Rejected"
"317","FMN1",0,"Rejected"
"318","FAM74A1",0,"Rejected"
"319","PADI3",0,"Rejected"
"320","ZNF362",0,"Rejected"
"321","LACC1",0,"Rejected"
"322","XLOC_001517",0,"Rejected"
"323","C1orf21",0,"Rejected"
"324","LINC00229",0,"Rejected"
"325","TPM2",0,"Rejected"
"326","X326",0,"Rejected"
"327","X327",0,"Rejected"
"328","X328",0,"Rejected"
"329","X329",0,"Rejected"
"330","X330",0,"Rejected"
"331","BCAS1",0,"Rejected"
"332","X332",0,"Rejected"
"333","XLOC_l2_004706",0,"Rejected"
"334","MTRNR2L5",0,"Rejected"
"335","RAF1",0,"Rejected"
"336","XLOC_l2_008321",0,"Rejected"
"337","Q7Z2X8",0,"Rejected"
"338","PROSC",0,"Rejected"
"339","XLOC_l2_015673",0,"Rejected"
"340","CLCC1",0,"Rejected"
"341","XLOC_011686",0,"Rejected"
"342","XLOC_003406",0,"Rejected"
"343","GUSB",0,"Rejected"
"344","HBG1",0,"Rejected"
